Модель,Accuracy,ROC-AUC,Precision,Recall,F1-score
Бейзлайн (most_frequent),0.59,0.5,0.0,0.0,0.0
Логистическая регрессия,0.7966666666666666,0.8753732028845711,0.748,0.7601626016260162,0.7540322580645161
